Rank;Name;Year;Genre;Genre_Enum;Publisher;VG_Global_Sales;IGN_Score;Editors_Choice
3139;Tales of Symphonia: Dawn of the New World;2008;Role-Playing;3;Namco Bandai Games;0.54;6.7;N
3140;Conflict: Vietnam;2004;Shooter;7;SCi;0.75;6.7;N
3141;Disgaea 3: Absence of Justice;2008;Role-Playing;3;Square Enix;0.51;6.7;N
3142;Fragile Dreams: Farewell Ruins of the Moon;2009;Role-Playing;3;Rising Star Games;0.38;6.7;N
3143;Petz: Catz 2;2006;Simulation;11;Ubisoft;1.84;6.7;N
3144;NHL 2K10;2009;Sports;2;Take-Two Interactive;1.02;6.7;N
3145;Conan;2007;Action;5;THQ;0.54;6.7;N
3146;Lupin the 3rd: Treasure of the Sorcerer King;2002;Adventure;6;505 Games;0.29;6.7;N
3147;MotoGP 09/10;2010;Racing;8;Capcom;0.39;6.7;N
3148;Silent Scope 2: Dark Silhouette;2001;Shooter;7;Konami Digital Entertainment;0.19;6.7;N
3149;Mega Man Network Transmission;2003;Platform;1;Capcom;0.17;6.7;N
3150;Cubivore: Survival of the Fittest;2002;Adventure;6;Nintendo;0.17;6.7;N
3151;Destruction Derby 64;1999;Racing;8;THQ;0.16;6.7;N
3152;SimAnimals Africa;2009;Simulation;11;Electronic Arts;0.24;6.7;N
